"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"5.8","0.0","2.7825","32.8745456","1","4","0.0"
"7.16","0.0","2.897222222","32.8745456","1","2","1.0"
"1.39","0.0","1.059722222","32.8745456","1","2","1.0"
"8.23","0.92","4.961111111","32.8745456","1","2","1.0"
"4.67","0.0","2.707777778","32.8745456","1","2","1.0"
"2.16","0.0","2.993055556","32.8745456","1","2","1.0"
"5.02","0.0","2.743888889","32.8745456","1","2","1.0"
"0.05","0.0","2.7125","32.8745456","1","2","1.0"
"5.29","0.0","3.136388889","32.8745456","1","2","1.0"
"3.09","0.0","1.789722222","32.8745456","1","2","1.0"
"5.83","0.75","4.828888889","32.8745456","1","2","1.0"
"5.56","0.0","2.511111111","32.8745456","1","4","0.0"
"4.89","1.0","4.941111111","32.8745456","1","2","1.0"
"1.98","0.0","0.655833333","32.8745456","1","3","0.0"
"3.17","0.0","2.920833333","32.8745456","1","2","1.0"
"6.11","0.0","1.952777778","32.8745456","1","2","1.0"
"2.35","0.0","1.155","32.8745456","1","2","1.0"
"6.35","0.0","3.046944444","32.8745456","1","2","1.0"
"3.28","0.0","1.075277778","32.8745456","1","4","0.0"
"6.23","0.0","3.077222222","32.8745456","1","4","0.0"
"5.09","2.0","6.0525","32.8745456","1","2","1.0"
"4.68","0.0","2.746111111","32.8745456","1","2","1.0"
"5.42","1.42","5.501944444","32.8745456","1","2","1.0"
"4.67","0.0","2.830833333","32.8745456","1","4","0.0"
"2.76","0.0","0.873055556","32.8745456","1","2","1.0"
"3.24","0.0","1.47","32.8745456","1","3","1.0"
"0.63","0.0","3.604444444","32.8745456","1","2","1.0"
"4.95","0.0","3.078611111","32.8745456","1","2","1.0"
"4.4","0.58","4.66","32.8745456","1","4","0.0"
"0.03","0.0","1.292222222","32.8745456","1","2","1.0"
"4.64","0.0","1.91","32.8745456","1","3","1.0"
"4.94","0.0","1.765277778","32.8745456","1","3","1.0"
"0.79","0.0","2.613611111","32.8745456","1","2","1.0"
"2.68","0.0","1.903888889","32.8745456","1","2","1.0"
"2.22","0.0","0.729444444","32.8745456","1","2","1.0"
"5.17","0.0","1.638611111","32.8745456","1","2","1.0"
"4.99","0.0","1.700555556","32.8745456","1","4","0.0"
"3.47","1.33","5.408611111","32.8745456","1","2","1.0"
"6.3","1.17","5.258333333","32.8745456","1","2","1.0"
"5.46","4.58","8.659722222","32.8745456","1","2","0.0"
"4.66","0.0","1.871666667","32.8745456","1","3","1.0"
"1.84","0.0","0.761388889","32.8745456","1","3","1.0"
"1.26","0.0","2.421944444","32.8745456","1","2","0.0"
"3.97","0.0","1.247222222","32.8745456","1","2","0.0"
"2.33","0.0","0.738611111","32.8745456","1","3","1.0"
"1.1","1.0","5.046666667","32.8745456","1","2","0.0"
"6.53","0.0","2.330277778","32.8745456","1","2","0.0"
"1.23","0.58","4.665","32.8745456","1","2","0.0"
"6.28","0.0","2.253611111","32.8745456","1","2","0.0"
"6.17","4.83","8.845555556","32.8745456","1","2","0.0"
"4.84","0.0","2.864444444","32.8745456","1","2","0.0"
"3.11","0.5","4.438888889","32.8745456","1","2","0.0"
"3.04","0.75","4.811111111","32.8745456","1","2","0.0"
"3.05","0.83","4.861666667","32.8745456","1","2","0.0"
"5.0","0.0","2.780833333","32.8745456","1","2","0.0"
"1.25","0.5","4.065277778","32.8745456","1","2","0.0"
"4.65","0.0","2.813333333","32.8745456","1","2","1.0"
